"","Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200","Cell201","Cell202","Cell203","Cell204","Cell205","Cell206","Cell207","Cell208","Cell209","Cell210","Cell211","Cell212","Cell213","Cell214","Cell215","Cell216","Cell217","Cell218","Cell219","Cell220","Cell221","Cell222","Cell223","Cell224","Cell225","Cell226","Cell227","Cell228","Cell229","Cell230","Cell231","Cell232","Cell233","Cell234","Cell235","Cell236","Cell237","Cell238","Cell239","Cell240","Cell241","Cell242","Cell243","Cell244","Cell245","Cell246","Cell247","Cell248","Cell249","Cell250","Cell251","Cell252","Cell253","Cell254","Cell255","Cell256","Cell257","Cell258","Cell259","Cell260","Cell261","Cell262","Cell263","Cell264","Cell265","Cell266","Cell267","Cell268","Cell269","Cell270","Cell271","Cell272","Cell273","Cell274","Cell275","Cell276","Cell277","Cell278","Cell279","Cell280","Cell281","Cell282","Cell283","Cell284","Cell285","Cell286","Cell287","Cell288","Cell289","Cell290","Cell291","Cell292","Cell293","Cell294","Cell295","Cell296","Cell297","Cell298","Cell299","Cell300","Cell301","Cell302","Cell303","Cell304","Cell305","Cell306","Cell307","Cell308","Cell309","Cell310","Cell311","Cell312","Cell313","Cell314","Cell315","Cell316","Cell317","Cell318","Cell319","Cell320","Cell321","Cell322","Cell323","Cell324","Cell325","Cell326","Cell327","Cell328","Cell329","Cell330","Cell331","Cell332","Cell333","Cell334","Cell335","Cell336","Cell337","Cell338","Cell339","Cell340","Cell341","Cell342","Cell343","Cell344","Cell345","Cell346","Cell347","Cell348","Cell349","Cell350","Cell351","Cell352","Cell353","Cell354","Cell355","Cell356","Cell357","Cell358","Cell359","Cell360","Cell361","Cell362","Cell363","Cell364","Cell365","Cell366","Cell367","Cell368","Cell369","Cell370","Cell371","Cell372","Cell373","Cell374","Cell375","Cell376","Cell377","Cell378","Cell379","Cell380","Cell381","Cell382","Cell383","Cell384","Cell385","Cell386","Cell387","Cell388","Cell389","Cell390","Cell391","Cell392","Cell393","Cell394","Cell395","Cell396","Cell397","Cell398","Cell399","Cell400","Cell401","Cell402","Cell403","Cell404","Cell405","Cell406","Cell407","Cell408","Cell409","Cell410","Cell411","Cell412","Cell413","Cell414","Cell415","Cell416","Cell417","Cell418","Cell419","Cell420","Cell421","Cell422","Cell423","Cell424","Cell425","Cell426","Cell427","Cell428","Cell429","Cell430","Cell431","Cell432","Cell433","Cell434","Cell435","Cell436","Cell437","Cell438","Cell439","Cell440","Cell441","Cell442","Cell443","Cell444","Cell445","Cell446","Cell447","Cell448","Cell449","Cell450","Cell451","Cell452","Cell453","Cell454","Cell455","Cell456","Cell457","Cell458","Cell459","Cell460","Cell461","Cell462","Cell463","Cell464","Cell465","Cell466","Cell467","Cell468","Cell469","Cell470","Cell471","Cell472","Cell473","Cell474","Cell475","Cell476","Cell477","Cell478","Cell479","Cell480","Cell481","Cell482","Cell483","Cell484","Cell485","Cell486","Cell487","Cell488","Cell489","Cell490","Cell491","Cell492","Cell493","Cell494","Cell495","Cell496","Cell497","Cell498","Cell499","Cell500"
"Gene1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene2",63,0,0,0,36,34,6,0,58,0,0,16,0,0,58,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,102,0,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,20,0,0,48,0,0,38,0,0,43,0,22,0,42,0,0,19,0,24,0,0,18,19,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,26,34,0,0,0,49,26,0,0,0,0,0,0,60,0,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,32,25,0,0,0,0,0,0,0,0,12,0,45,0,0,0,17,17,0,0,0,32,0,0,0,66,0,104,0,0,0,66,0,0,0,0,0,89,0,0,0,0,0,60,0,0,27,0,32,0,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,0,22,0,0,22,0,0,0,32,0,0,0,0,0,0,0,15,0,0,0,0,79,0,0,0,0,0,0,0,0,0,98,21,0,28,0,0,0,15,0,31,0,0,0,0,0,19,0,0,0,0,0,24,0,0,0,0,0,17,0,0,22,97,0,0,40,0,0,12,0,0,0,0,0,67,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,32,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,70,29,0,0,0,18,0,0,19,32,0,0,0,0,0,0,0,0,0,0,0,0,10,24,47,0,0,0,10,0,13,19,0,0,0,0,0,0,17,14,23,0,30,0,0,0,0,0,0,74,0,0,0,0,0,39,11,0,0,18,0,0,0,0,25,0,0,0,0,0,40,0,0,9,0,0,28,0,27,0,0,7,0,35,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,24,75,0,0,32,0,0,30,0,7,0,15,36,69,0,0,0,0,0,0,52,23,0,29,0,0,0,0,0,0,0,0,27,0,97,0,0,0,0,0,0,0
"Gene3",10,12,0,10,0,20,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,32,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,6,8,16,14,0,4,0,11,0,0,0,0,0,0,0,0,0,0,16,0,0,18,15,0,0,0,0,0,0,0,0,14,14,16,0,0,6,4,17,0,0,0,16,0,0,16,0,0,0,11,10,0,0,9,22,0,6,0,9,0,0,0,16,0,0,7,0,0,12,22,0,0,0,0,0,7,9,0,6,0,0,0,11,0,0,0,0,3,0,0,0,15,20,0,0,0,0,0,0,0,0,12,0,0,22,0,11,0,0,0,0,0,0,0,0,0,16,0,0,0,21,0,0,0,21,11,0,0,0,0,11,5,24,22,0,2,0,0,0,0,0,0,0,0,9,1,0,20,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,7,0,0,0,0,0,10,0,20,0,0,0,0,19,6,0,5,13,11,0,0,20,0,0,7,7,0,7,0,0,6,0,0,0,0,0,0,8,0,12,0,18,0,0,0,0,15,0,6,0,0,9,0,0,19,0,0,0,7,3,26,0,0,0,32,0,0,0,0,4,9,0,0,0,10,0,0,13,0,0,13,0,9,0,0,0,7,20,0,0,18,0,0,0,0,11,0,11,0,0,13,0,7,10,0,5,0,24,0,7,0,0,0,11,15,0,0,0,0,11,7,0,8,13,0,10,0,0,19,12,0,0,5,0,0,0,0,0,15,0,0,10,0,21,0,0,0,0,8,33,0,0,0,0,0,20,9,16,0,3,0,0,15,20,0,0,9,18,8,0,0,0,0,20,0,0,5,0,0,14,0,13,0,0,0,0,0,0,15,29,0,15,0,6,7,7,0,0,0,0,0,0,0,12,0,0,16,0,0,10,0,0,0,16,0,13,0,0,12,0,11,0,12,3,0,0,0,16,26,10,0,0,14,7,0,0,0,0,0,0,25,0,29,17,0,0,0,14,0,0,0,0,9,11,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,19
"Gene4",0,12,0,75,0,0,0,0,0,0,0,0,51,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,27,0,0,0,0,0,0,14,0,28,28,19,0,0,0,0,0,0,0,30,0,0,0,0,24,0,0,0,32,0,0,0,20,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,52,13,0,0,0,0,0,42,0,0,0,0,0,0,0,42,29,0,0,0,42,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,30,0,0,0,0,0,0,44,0,0,0,0,0,0,48,0,0,68,0,0,38,0,0,0,0,0,8,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,44,0,0,0,0,0,22,0,0,0,39,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,23,23,27,15,27,0,0,0,0,0,0,0,0,0,0,0,0,35,29,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,73,18,0,0,0,17,0,24,0,0,0,0,0,0,0,16,0,35,0,0,0,0,38,0,0,0,23,0,53,48,0,6,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,0,0,0,0,74,0,60,0,0,0,0,50,0,0,0,0,20,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,25,19,0,0,0,0,0,16,71,0,0,67,28,0,0,0,0,0,0,0,0,0,54,0,0,35,0,0,0,0,55,31,0,0,0,36,0,0,46,0,24,0,0,0,0,0,0,0,0,0,0,26,0,0,0,27,0,0,16,0,0,0,0,0,0,0,0,0,43,0,30,0,18,0,0,0,18,0,0,0,0,0,109,0,0,42,0,0,0,20,0,24,0,26,0,52,0,0,0,0,29,36,39,0,0,0,0,11,0,0,6,0,0,0
"Gene5",0,0,0,0,0,0,0,0,0,190,0,207,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,191,0,0,0,260,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,238,389,252,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,189,116,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,216,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,308,0,0,0,0,0,0,207,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,169,0,0,0,347,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,190,0,0,0,0,0,0,0,0,276,285,0,0,0,0,0,0,0,0,0,0,167,0,0,0,205,280,0,0,0,0,0,150,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,179,0,0,0,0,253,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0
"Gene6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Gene7",0,3,2,0,0,0,0,1,2,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,3,0,0,1,1,0,1,0,3,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,2,2,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,2,8,0,2,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,7,8,0,0,2,1,0,0,0,0,0,0,2,6,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,2,0,2,1,2,1,0,2,0,1,2,0,0,0,0,5,0,0,0,4,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,7,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,3,1,0,0,0,1,0,0,3,0,0,0,2,0,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
"Gene8",10,0,0,0,0,0,0,0,2,0,0,8,0,2,6,0,0,2,0,4,3,0,3,6,2,13,0,0,10,1,4,0,0,0,9,0,2,0,11,0,0,0,0,0,5,5,3,14,7,8,1,0,3,2,0,0,0,0,3,0,0,0,0,0,3,12,0,0,0,10,0,0,3,6,0,0,8,0,0,1,0,0,0,0,0,0,8,1,0,6,0,0,7,0,4,0,14,0,0,0,5,10,0,0,0,8,0,0,0,0,4,0,5,0,0,6,0,0,0,4,10,3,7,7,0,4,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,6,6,0,0,5,7,0,0,4,0,0,0,0,0,3,2,0,6,0,0,0,3,0,0,0,0,0,8,0,0,3,7,0,0,2,6,16,0,0,0,0,0,0,6,0,0,0,1,5,6,0,0,3,6,0,4,2,3,8,0,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,1,0,4,2,2,8,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,10,1,0,3,3,14,3,7,0,0,0,10,0,0,0,4,5,5,0,11,2,0,8,0,1,1,0,0,2,0,0,2,0,12,0,0,9,0,0,5,7,0,0,0,0,9,0,0,0,0,0,0,2,1,0,0,0,10,0,0,0,7,2,2,3,7,1,2,0,0,0,4,1,4,0,4,2,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,2,6,0,0,2,0,1,0,0,8,4,0,8,0,0,0,10,0,1,0,0,0,5,3,0,0,0,0,2,0,0,0,0,12,0,8,0,7,6,1,0,0,1,0,0,8,0,3,0,1,0,0,1,3,0,0,4,5,0,0,1,3,0,0,0,19,3,5,1,2,1,0,0,0,1,10,0,0,8,2,0,9,0,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,8,11,7,0,0,0,13,6,1,0,0,0,0,14,0,0,0,1,0,0,9,0,0,3,0,15,2,0,0,0,8,0,0,0,0,0,0,0,2,3,0,0
"Gene9",0,0,0,0,0,0,0,56,65,19,0,0,51,79,0,0,0,0,0,0,0,0,0,0,17,0,0,0,43,0,0,0,0,63,0,0,0,0,0,0,60,0,0,29,0,0,56,20,40,0,48,0,79,0,20,24,0,0,0,0,0,0,0,0,0,0,0,27,42,0,0,0,0,0,47,0,0,0,0,0,0,0,0,34,0,37,0,0,43,0,0,0,0,0,0,0,0,0,0,24,0,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,42,0,78,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,20,0,0,17,0,0,0,92,0,0,0,0,17,0,0,0,0,0,0,33,0,41,0,0,0,0,0,0,0,74,0,51,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,27,0,0,0,0,64,0,0,0,0,0,34,0,0,0,10,0,0,0,28,0,0,0,0,0,0,0,0,47,0,60,0,0,24,0,22,50,44,0,0,0,0,10,0,0,0,22,0,31,0,30,0,51,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,19,0,48,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,41,0,0,0,0,0,0,14,0,25,0,0,0,29,0,62,0,0,0,0,0,0,0,0,0,0,0,57,37,26,0,0,33,41,62,29,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,46,18,0,0,0,71,0,0,0,10,0,0,36,0,0,55,17,43,40,0,0,0,35,0,7,34,0,0,0,19,0,0,0,0,0,0,0,111,0,0,0,0,70,0,0,0,0,0,0,48,47,76,28,34,0,0,0,0,32,0,0,0,0,0,21,91,0,0,20,45,0,0,0,46,20,0,0,28,0,0,0,0,0,0,81,0,0,0,50,0,0,0,0,0,19,0,0,0,0,0,21,60,0,0,26,0,0,0,73,0,57,0,0,0,0,0,22,0,0,0,28,0,0,0,0,0,68,0,0,0,0,24,0,30,24,0,0
"Gene10",0,0,0,1,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,3,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,7,0,1,2,0,1,0,0,0,6,3,1,2,3,0,0,10,0,6,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,3,0,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,2,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,6,0,0,0,1,0,1,0,8,8,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,1,0,1,4,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,3,3,3,2,1,0,4,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0
